,Buy,Sell,Hols,Firsts,Fridays
0,2000-04-20,2000-04-23,1,0,0
1,2000-04-23,2000-04-26,1,0,0
2,2000-04-30,2000-05-03,1,1,0
3,2000-10-02,2000-10-05,1,0,0
4,2000-12-24,2000-12-27,1,0,0
5,2000-12-25,2000-12-28,1,0,0
6,2000-12-31,2001-01-03,1,1,0
7,2001-04-12,2001-04-15,1,0,0
8,2001-04-15,2001-04-18,1,0,0
9,2001-04-30,2001-05-03,1,1,0
10,2001-12-23,2001-12-26,1,0,0
11,2001-12-24,2001-12-27,1,0,0
12,2001-12-25,2001-12-28,1,0,0
13,2001-12-30,2002-01-02,1,0,0
14,2001-12-31,2002-01-03,1,1,0
15,2002-03-28,2002-03-31,1,0,0
16,2002-03-31,2002-04-03,1,1,0
17,2002-04-30,2002-05-03,1,1,0
18,2002-12-23,2002-12-26,1,0,0
19,2002-12-24,2002-12-27,1,0,0
20,2002-12-25,2002-12-28,1,0,0
21,2002-12-30,2003-01-02,1,0,0
22,2002-12-31,2003-01-03,1,1,0
23,2003-04-17,2003-04-20,1,0,0
24,2003-04-20,2003-04-23,1,0,0
25,2003-04-30,2003-05-03,1,1,0
26,2003-12-23,2003-12-26,1,0,0
27,2003-12-24,2003-12-27,1,0,0
28,2003-12-25,2003-12-28,1,0,0
29,2003-12-30,2004-01-02,1,0,0
30,2003-12-31,2004-01-03,1,1,0
31,2004-04-08,2004-04-11,1,0,0
32,2004-04-11,2004-04-14,1,0,0
33,2004-12-23,2004-12-26,1,0,0
34,2004-12-30,2005-01-02,1,0,0
35,2005-03-24,2005-03-27,1,0,0
36,2005-03-27,2005-03-30,1,0,0
37,2005-12-25,2005-12-28,1,0,0
38,2006-04-13,2006-04-16,1,0,0
39,2006-04-16,2006-04-19,1,0,0
40,2006-04-30,2006-05-03,1,1,0
41,2006-12-24,2006-12-27,1,0,0
42,2006-12-25,2006-12-28,1,0,0
43,2006-12-31,2007-01-03,1,1,0
44,2007-04-05,2007-04-08,1,0,0
45,2007-04-08,2007-04-11,1,0,0
46,2007-04-30,2007-05-03,1,1,0
47,2007-05-27,2007-05-30,1,0,0
48,2007-12-23,2007-12-26,1,0,0
49,2007-12-24,2007-12-27,1,0,0
50,2007-12-25,2007-12-28,1,0,0
51,2007-12-30,2008-01-02,1,0,0
52,2007-12-31,2008-01-03,1,1,0
53,2008-03-20,2008-03-23,1,0,0
54,2008-03-23,2008-03-26,1,0,0
55,2008-04-30,2008-05-03,1,1,0
56,2008-12-23,2008-12-26,1,0,0
57,2008-12-24,2008-12-27,1,0,0
58,2008-12-25,2008-12-28,1,0,0
59,2008-12-30,2009-01-02,1,0,0
60,2008-12-31,2009-01-03,1,1,0
61,2009-04-09,2009-04-12,1,0,0
62,2009-04-12,2009-04-15,1,0,0
63,2009-04-30,2009-05-03,1,1,0
64,2009-12-23,2009-12-26,1,0,0
65,2009-12-24,2009-12-27,1,0,0
66,2009-12-30,2010-01-02,1,0,0
67,2009-12-31,2010-01-03,1,1,0
68,2010-04-01,2010-04-04,1,0,0
69,2010-04-04,2010-04-07,1,0,0
70,2010-12-23,2010-12-26,1,0,0
71,2010-12-30,2011-01-02,1,0,0
72,2011-04-21,2011-04-24,1,0,0
73,2011-04-24,2011-04-27,1,0,0
74,2011-10-02,2011-10-05,1,0,0
75,2011-12-25,2011-12-28,1,0,0
76,2012-04-05,2012-04-08,1,0,0
77,2012-04-08,2012-04-11,1,0,0
78,2012-04-30,2012-05-03,1,1,0
79,2012-10-02,2012-10-05,1,0,0
80,2012-12-23,2012-12-26,1,0,0
81,2012-12-24,2012-12-27,1,0,0
82,2012-12-25,2012-12-28,1,0,0
83,2012-12-30,2013-01-02,1,0,0
84,2012-12-31,2013-01-03,1,1,0
85,2013-03-28,2013-03-31,1,0,0
86,2013-03-31,2013-04-03,1,1,0
87,2013-04-30,2013-05-03,1,1,0
88,2013-10-02,2013-10-05,1,0,0
89,2013-12-23,2013-12-26,1,0,0
90,2013-12-24,2013-12-27,1,0,0
91,2013-12-25,2013-12-28,1,0,0
92,2013-12-30,2014-01-02,1,0,0
93,2013-12-31,2014-01-03,1,1,0
94,2014-04-17,2014-04-20,1,0,0
95,2014-04-20,2014-04-23,1,0,0
96,2014-04-30,2014-05-03,1,1,0
97,2014-10-02,2014-10-05,1,0,0
98,2014-12-23,2014-12-26,1,0,0
99,2014-12-24,2014-12-27,1,0,0
100,2014-12-25,2014-12-28,1,0,0
101,2014-12-30,2015-01-02,1,0,0
102,2014-12-31,2015-01-03,1,1,0
103,2015-04-02,2015-04-05,1,0,0
104,2015-04-05,2015-04-08,1,0,0
105,2015-04-30,2015-05-03,1,1,0
106,2015-05-24,2015-05-27,1,0,0
107,2015-12-23,2015-12-26,1,0,0
108,2015-12-24,2015-12-27,1,0,0
109,2015-12-30,2016-01-02,1,0,0
110,2015-12-31,2016-01-03,1,1,0
111,2016-03-24,2016-03-27,1,0,0
112,2016-03-27,2016-03-30,1,0,0
113,2016-05-15,2016-05-18,1,0,0
114,2016-10-02,2016-10-05,1,0,0
115,2016-12-25,2016-12-28,1,0,0
116,2017-04-13,2017-04-16,1,0,0
117,2017-04-16,2017-04-19,1,0,0
118,2017-04-30,2017-05-03,1,1,0
119,2017-06-04,2017-06-07,1,0,0
120,2017-10-02,2017-10-05,1,0,0
121,2017-10-30,2017-11-02,1,0,0
122,2017-12-24,2017-12-27,1,0,0
123,2017-12-25,2017-12-28,1,0,0
124,2017-12-31,2018-01-03,1,1,0
125,2018-03-29,2018-04-01,1,0,0
126,2018-04-01,2018-04-04,1,0,0
127,2018-04-30,2018-05-03,1,1,0
128,2018-05-20,2018-05-23,1,0,0
129,2018-10-02,2018-10-05,1,0,0
130,2018-12-23,2018-12-26,1,0,0
131,2018-12-24,2018-12-27,1,0,0
132,2018-12-25,2018-12-28,1,0,0
133,2018-12-30,2019-01-02,1,0,0
134,1999-12-31,2000-01-03,0,1,0
135,2000-01-31,2000-02-03,0,1,0
136,2000-02-29,2000-03-03,0,1,0
137,2000-03-31,2000-04-03,0,1,1
138,2000-05-31,2000-06-03,0,1,0
139,2000-06-30,2000-07-03,0,1,1
140,2000-07-31,2000-08-03,0,1,0
141,2000-08-31,2000-09-03,0,1,0
142,2000-09-30,2000-10-03,0,1,0
143,2000-10-31,2000-11-03,0,1,0
144,2000-11-30,2000-12-03,0,1,0
145,2001-01-31,2001-02-03,0,1,0
146,2001-02-28,2001-03-03,0,1,0
147,2001-03-31,2001-04-03,0,1,0
148,2001-05-31,2001-06-03,0,1,0
149,2001-06-30,2001-07-03,0,1,0
150,2001-07-31,2001-08-03,0,1,0
151,2001-08-31,2001-09-03,0,1,1
152,2001-09-30,2001-10-03,0,1,0
153,2001-10-31,2001-11-03,0,1,0
154,2001-11-30,2001-12-03,0,1,1
155,2002-01-31,2002-02-03,0,1,0
